imdb_id,mpaa_rating,running_time,budget,opening_wkd,gross_us,awards,genres_Action,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Documentary,genres_Fantasy,genres_Family,genres_History,genres_Horror,genres_Mystery,genres_Musical,genres_Music,genres_Romance,genres_Sci-Fi,genres_Sport,genres_Thriller,genres_War,genres_Western,country_United States,country_United Kingdom,country_France,country_Canada,country_India,country_other,language_English,language_French,language_Hindi,language_other,release_endtime,release_starttime,show_time_week,company,distributor
tt1547234,1,91.0,35000000.0,6300000,20275446,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2233,2225,8,co0071509,Columbia Pictures
tt1560747,2,144.0,32000000.0,736311,16377274,220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2254,2228,26,co0150452,"Weinstein Company, The"
tt1560985,2,83.0,,33732515,53245055,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2202,2192,10,co0306248,Insurge Pictures
tt1566501,2,145.0,12000000.0,1885608,5669081,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2223,2213,10,co0328805,ARC Entertainment (II)
tt1568338,1,102.0,42000000.0,8001932,18600911,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2199,2195,4,co0046206,Summit Entertainment
tt1568921,5,94.0,,6446395,19192510,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2213,2198,15,co0226183,Walt Disney Studios Motion Pictures
tt1579361,1,75.0,,83200,780100,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2243,2236,7,co0400558,Submarine Deluxe
tt1582507,1,101.0,6900000.0,12287234,31607598,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2241,2229,12,co0142678,Relativity Media
tt1586265,1,110.0,40000000.0,10547068,41102171,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2221,2211,10,co0173285,Lionsgate
tt1588334,2,83.0,10000000.0,855709,4244155,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2210,2202,8,co0179341,Paramount Vantage
tt1591479,2,110.0,12000000.0,24476632,70011073,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,2213,2199,14,co0142678,Relativity Media
tt1592281,2,116.0,,137019,1237514,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2229,2217,12,co0134717,Magnolia Pictures
tt1592525,1,95.0,20000000.0,6231836,14291570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2211,2206,5,co0342335,Open Road Films (II)
tt1596350,1,103.0,65000000.0,17405930,54758461,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2214,2198,16,co0000756,Twentieth Century Fox Film Corporation
tt1596365,1,95.0,17000000.0,20874072,54322273,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,2208,2196,12,co0047306,CBS Films
tt1598828,1,91.0,40000000.0,11515790,26404753,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2205,2195,10,co0173285,Lionsgate
tt1599348,2,115.0,85000000.0,40172720,126149655,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2210,2197,13,co0005073,Universal Pictures
tt1601913,2,117.0,25000000.0,19665101,51533608,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2205,2195,10,co0342335,Open Road Films (II)
tt1602098,2,113.0,,696166,3014541,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2210,2195,15,co0192696,LD Entertainment
tt1602620,1,127.0,8900000.0,68266,6738954,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2262,2242,20,co0014453,Sony Pictures Classics
tt1605630,2,113.0,50000000.0,21514080,56724080,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2212,2205,7,co0005073,Universal Pictures
tt1606389,1,104.0,30000000.0,41202458,125014030,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2210,2197,13,co0010568,Screen Gems
tt1611224,2,105.0,69000000.0,16306974,37516013,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2228,2216,12,co0000756,Twentieth Century Fox Film Corporation
tt1614989,2,100.0,30000000.0,43013,1196752,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2223,2208,15,co0134717,Magnolia Pictures
tt1615065,2,131.0,45000000.0,16016910,47307550,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2226,2218,8,co0005073,Universal Pictures
tt1621045,1,122.0,12000000.0,33636303,91547205,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2218,2207,11,co0010568,Screen Gems
tt1623288,3,92.0,60000000.0,14087050,55994557,64,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2243,2224,19,co0042399,Focus Features
tt1629757,3,116.0,20000000.0,2268274,6002756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2245,2234,11,co0000756,Twentieth Century Fox Film Corporation
tt1636826,2,88.0,12000000.0,21051363,54724272,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2210,2200,10,co0026840,Warner Bros.
tt1637725,2,106.0,50000000.0,54415205,218628680,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2233,2217,16,co0005073,Universal Pictures
tt1645170,2,83.0,65000000.0,17435092,59617068,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2220,2211,9,co0023400,Paramount Pictures
tt1646987,1,99.0,150000000.0,33457188,83640426,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2216,2204,12,co0026840,Warner Bros.
tt1648179,3,105.0,,11816596,45290318,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2250,2232,18,co0071509,Columbia Pictures
tt1649419,1,114.0,30000000.0,143818,18996755,93,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2258,2242,16,co0046206,Summit Entertainment
tt1655460,2,98.0,,6526650,17225675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2204,2199,5,co0005073,Universal Pictures
tt1656190,2,94.0,30000000.0,7892539,17120019,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2215,2208,7,co0173285,Lionsgate
tt1659337,1,102.0,13000000.0,228359,17738570,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2248,2229,19,co0046206,Summit Entertainment
tt1663143,1,86.0,14000000.0,4101017,9402410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2240,2234,6,co0023400,Paramount Pictures
tt1667307,1,99.0,,58589,1007535,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2224,2205,19,co0014453,Sony Pictures Classics
tt1667353,3,106.0,85000000.0,18132085,64933670,15,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2223,2204,19,co0142678,Relativity Media
tt1667889,3,88.0,95000000.0,46629259,161317423,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2248,2219,29,co0000756,Twentieth Century Fox Film Corporation
tt1673434,1,115.0,120000000.0,141067634,292298923,48,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2252,2237,15,co0046206,Summit Entertainment
tt1675434,2,112.0,,103507,13179837,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2245,2212,33,co0150452,"Weinstein Company, The"
tt1682181,1,98.0,1100000.0,116472,4038876,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2236,2204,32,co0150452,"Weinstein Company, The"
tt1694020,1,95.0,40000000.0,5290629,37101011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2252,2242,10,co0023400,Paramount Pictures
