imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating
tt1456635,4200000,92.0619,144.292,113.747,245.861,22.354,24.1846,23.7338,30.1784,12.3643,7.4718,10.7359,33.7616,4.21429
tt1462769,52000000,505.806,3990.62,2039.88,2020.63,30.4563,156.21,85.8152,84.9624,39.0388,152.988,89.2011,88.371,4.29386
tt1477855,6400000,60.2593,101.663,81.6213,83.4302,8.06173,10.8652,9.50296,9.52514,7.98765,14.7753,11.6095,11.6592,3.38298
tt1482459,214000000,3,28.4321,17.2949,94.5,0.0909091,5.03704,3.20513,14.5203,0.0909091,7.06173,5.65385,15.4189,4.15931
tt1496025,62000000,26.4267,77.7308,37.0909,65.7826,2.33333,9.80769,3.67677,6,5.01333,19.0385,7.81818,11.6783,4.27654
tt1506999,19000000,70.6294,240.356,111.255,132.1,12.5175,45.0889,20.3138,20.5584,6.70629,15.8222,8.8883,9.30303,2.68617
tt1520498,1100000,4.9837,12.5,6.93385,7.91159,1.91848,1.90541,1.68482,1.90854,0.173913,0.756757,0.284047,0.359756,3.90909
tt1524137,66000000,608.5,979.316,822,645.289,66.5,91.4737,80.8788,58.1184,160.571,68.6316,107.636,56.2368,4.152
tt1535438,64000000,3012.66,2647.36,2871.59,2262.78,308.984,240.614,282.159,195.989,646.938,272.864,497.28,332.659,4.14115
tt1540128,13000000,2733.88,5151.14,3333.92,3617.69,192.11,214.686,196.909,237.631,286.824,323.029,293.826,298.756,3.33058
tt1547234,20000000,215.219,815.6,372.281,423.3,24.9726,48.12,31.2396,27.3118,21.2603,47.36,28.125,24.4176,4.00775
tt1560747,16000000,3,33.4348,27.4815,76.9,0.2,3.21739,2.66667,4.725,2.6,5.65217,5.2963,7.525,2.27946
tt1560985,53000000,776.275,952.068,826.766,1076.1,119.059,219.205,161.723,148.375,115.667,78.2955,95.4468,95.0139,1.94556
tt1566501,5700000,323.573,506.326,405.836,525.19,20.7079,43.6947,31.6393,41.652,112.27,87.3895,96.9344,98.1612,4.796
tt1568338,19000000,151.476,325.909,211.438,240.298,16.8571,48.1818,27.625,34.1277,16.5238,16,16.3438,18.9787,4.16422
tt1568921,19000000,210.562,404.487,314.7,676.926,32.3125,42.2308,36.7571,43.6543,19.875,32.1026,26.3286,65.9136,4.25246
tt1579361,780000,28.4816,121.231,31.8529,73.3354,2.65552,10.3846,2.94444,4.59783,12.495,27.6923,13.0163,25.3494,4.5625
tt1582507,32000000,533.496,926.584,642.483,859.992,34.3534,64.427,42.6916,47.3889,26.1293,34.236,28.3769,30.2639,3.52025
tt1586265,41000000,42.0386,160.641,59.0441,98.5266,6.74678,10.1795,7.23897,7.73041,9.07296,36.2564,12.9706,16.0846,3.63333
tt1588334,4200000,17.2143,45.1765,32.0345,74.7451,6,8.29412,7.44828,8.11765,7.21429,1.05882,4.10345,9.86275,3.91429
tt1591479,70000000,172.846,1016.22,428,756.558,19.8971,69.3445,38.4491,47.6288,28.8514,112.916,55.2526,83.9663,4.69689
tt1592281,1200000,9.27536,46.7241,30.1603,40.1053,1.57971,7,4.60256,4.93158,0.594203,2.31034,1.55128,2.36316,2.92308
tt1592525,14000000,83.5246,137.25,104.68,171.922,12.3115,10.85,11.77,15.1169,18.5902,13.7,16.82,17.8571,3.35833
tt1596350,55000000,62.8636,231.148,95.2935,451.268,7.13636,35.6667,14.6413,41.4196,11.3788,23.4074,14.3587,27.7768,4.36024
tt1596365,54000000,359.378,1681.73,666.007,895.03,57.2,176.06,88.3137,87.8416,25.0267,113.381,48.9739,48.9554,3.90244
tt1598828,26000000,261.358,425.544,296.149,301.295,52.625,152.656,76.6267,73.2286,23.9826,34.4556,26.2107,25.2333,3.74
