imdb_id,gross,release_time,duration,out_week,first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,review_cnt,feature_clusters
tt1405365,3100000,2222,20,2241,2202,2290,20,49,0.05,0.5,2.75,2.1,2.5,10.25,0.244897959,1,8,3,0,2,0,0,0,2,13,50,10,19,10,1,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,13,47,11,26,14,18,89.8293,68.5185,131.429,0.5,5.68293,4.07407,6.01681,2,10.8049,8.42593,6.91597,3.91667,12.70997429,19.17142857,0.564928571,0.971428571,0.028571429,35,1
tt1409024,179000000,2212,17,2228,2189,2291,23,63,0.434782609,1,25.75,1.823529412,4,14.25,1.015873016,6,1,9,60,14,37,0,0,22,5,44,29,11,43,0,0,4,4,1,5,0,2,0,3,1,2,60,14,37,0,4,0,17,3,38,31,8,55,17.2479,92.7419,33.0608,73.2211,3.94872,20.8065,7.47973,11.9684,2.71795,2.58065,2.68919,2.62456,4.21626,12.73919781,15.76642336,0.689885949,0.954379562,0.045620438,548,1
tt1412386,46000000,2209,26,2234,2193,2299,16,65,3.375,3.75,1,1.653846154,0,0,0.046153846,3,1,1,18,5,0,0,0,7,27,1,42,8,1,3,2,0,4,2,0,0,0,0,1,0,0,18,5,0,0,4,0,6,24,1,44,8,2,46.6164,398.279,176.974,177.05,16.3836,68.093,35.5517,35.0756,11.1233,57.2558,28.2241,27.7731,4.60656,14.95166497,17.91780822,0.772683366,0.974559687,0.025440313,512,1
tt1417075,1000000,2197,15,2211,2179,2200,18,-11,0.388888889,2,0.75,0.6,0,0,0,1,0,0,0,0,0,0,0,7,0,0,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,10,9,0,10.2778,17.3333,12.6296,12.6296,1.33333,3,1.88889,1.88889,4.16667,1.33333,3.22222,3.22222,4.6,0.8414,-0.375,0.064025,0.5,0.5,8,2
tt1430615,20000000,2196,10,2205,2177,2303,19,98,0.789473684,1.75,5,2.2,1,1.5,0.265306122,7,4,4,4,0,3,0,2,12,6,20,9,8,9,10,2,0,10,2,2,0,1,0,5,2,0,4,0,3,1,4,0,11,6,17,11,8,13,342.667,396.909,361.312,345.69,40.4048,39.5,40.0938,31.27,71.6667,45.6818,62.7344,57.19,4.31455,16.9376288,20.85869565,0.659720109,0.940217391,0.059782609,184,2
tt1430626,31000000,2208,15,2222,2167,2302,41,80,0.12195122,5,9,2.2,10.75,2,0.225,11,7,6,1,4,0,0,0,28,17,43,18,4,19,3,1,1,4,2,1,0,0,0,8,3,4,1,4,0,0,0,0,22,12,35,26,12,29,39.3279,68.2727,47.4253,65.2699,6.5082,9.72727,7.96552,6.42331,9.34426,7.24242,8.65517,8.87117,3.45882,25.75672564,29.52564103,0.653432051,0.884615385,0.115384615,78,1
tt1433822,4900000,2225,8,2232,2212,2287,13,55,0.230769231,0,10.75,8.875,1.75,2.75,0.109090909,7,11,5,3,1,1,0,0,22,52,18,10,3,0,4,4,0,5,4,2,0,0,0,1,3,0,3,1,1,0,0,0,21,52,10,16,11,11,397.457,622.254,533.872,503.22,100.913,55.3803,73.2821,65.1489,192.739,60.5493,112.521,98.4184,2.00943,-2.67730404,-2.939393939,-0.099012121,0.454545455,0.545454545,99,0
tt1435513,1800000,2211,20,2230,2122,2289,89,59,5.08988764,4,9,6.45,1.25,0,0.338983051,13,6,0,182,21,3,0,0,76,30,3,232,72,19,2,0,0,4,0,0,0,0,0,1,1,0,182,21,3,1,1,0,75,28,3,242,78,19,11.0713,39.0394,15.8744,17.7011,2.94455,4.90551,3.31811,3.41426,2.61782,4.56693,2.88581,3.00759,4.36667,11.33652609,14,0.516691304,0.826086957,0.173913043,23,1
tt1440129,65000000,2211,12,2222,2170,2303,41,81,0.658536585,5.75,8,2.333333333,4.75,1,0.197530864,30,10,8,0,0,1,0,0,35,13,21,17,5,9,0,0,0,1,1,0,0,1,0,3,0,2,0,0,1,0,0,0,30,11,20,48,15,16,794.744,1999.88,1060.98,1248.54,69.6463,102.48,76.5146,81.1611,168.817,198.12,175.612,163.591,4.04199,10.95114118,13.54981993,0.612853782,0.890756303,0.109243697,833,0
tt1441952,9000000,2201,14,2214,2176,2295,25,81,1.08,0.25,5.5,4.071428571,3.25,9.75,0.197530864,8,10,12,2,1,3,0,0,5,12,28,35,34,24,0,0,1,0,6,3,0,0,0,2,1,2,2,1,3,0,0,0,5,9,25,41,40,35,7.7,52.5965,31.6168,74.0286,0.32,5.49123,3.07477,6.77714,2.14,4.73684,3.52336,6.19429,4.27778,26.94538864,30.40909091,0.784868182,0.965909091,0.034090909,88,1
tt1445520,2000000,2201,18,2218,2184,2241,17,23,0.176470588,2,1,0.388888889,0,0,0.086956522,1,0,0,0,0,0,0,0,7,1,1,7,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,7,6,1,0.8,3.71429,1.72727,2.45833,0.0666667,0.571429,0.227273,0.375,0.133333,0.714286,0.318182,0.291667,4.08333,22.09422222,28.66666667,0.649377778,0.888888889,0.111111111,9,1
