imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,promotion_clusters
tt1840417,11000000,220.281,349.702,262.818,398.859,25.9062,21.383,24.4196,25.4417,50.0,43.1489,47.7483,62.3398,3.63218,10.34943235,13.72352941,0.473564118,0.841176471,0.158823529,1
tt1853728,163000000,638.099,5111.99,1965.37,1914.37,34.821,266.888,103.669,99.4214,211.504,577.922,320.21,303.374,4.62197,4.774319043,9.185918316,0.373419544,0.896016036,0.103983964,1
tt1855199,41000000,258.849,1107.76,603.345,703.768,12.4651,49.3729,27.453,33.3129,20.8895,45.9153,31.1498,36.5065,4.41732,7.917037136,11.30582524,0.510993083,0.887135922,0.112864078,1
tt1870529,5300000,63.1429,161.92,82.1385,83.1818,12.0381,31.04,15.6923,15.5245,19.619,29.68,21.5538,20.8601,4.31522,12.62343409,15.72727273,0.550417045,0.886363636,0.113636364,1
tt1876451,24000000,4329.26,13257.9,6285.74,7116.8,117.453,338.103,167.133,158.18,381.391,691.359,445.47,325.756,4.54839,12.49669422,14.9203125,0.754780938,0.965625,0.034375,1
tt1907668,94000000,1640.06,3717.17,3122.11,3140.36,82.4839,179.169,151.989,155.43,135.355,227.746,200.14,205.243,4.1531,7.213288329,10.52310427,0.480296149,0.876777251,0.123222749,1
tt1954352,1800000,111.323,382.18,163.223,196.307,23.0758,54.6742,29.4386,29.3016,15.4494,44.3596,21.3682,23.7821,4.64,23.02225116,25.62790698,0.744467442,0.930232558,0.069767442,1
tt1985017,3300000,50.0,96.75,76.7143,76.7143,16.3333,44.0,32.1429,32.1429,61.3333,25.0,40.5714,40.5714,4.47791,12.66431475,16.04918033,0.556759426,0.87704918,0.12295082,1
tt2008513,894000,88.4364,74.6909,84.7315,236.146,5.78182,6.89091,6.14198,9.22486,54.6409,18.0273,43.1142,39.638,4.0,16.149075,19.5,0.71945,1.0,0.0,1
tt2053352,1000000,4.0,8.4,6.58824,7.875,0.214286,0.75,0.529412,0.611111,1.0,1.65,1.38235,1.56944,4.81818,16.303,20.63636364,0.726818182,1.0,0.0,1
tt2073016,1200000,16.5484,8.83721,12.0676,35.3684,4.22581,1.55814,2.67568,4.30526,9.3871,0.953488,4.48649,5.98947,4.91667,16.79390833,22.25,0.739558333,1.0,0.0,1
tt2083383,36000000,599.0,1329.32,1064.53,927.899,61.68,86.0488,78.1406,64.764,105.56,110.0,110.109,98.8202,4.348,13.75890062,17.01859504,0.702217562,0.95661157,0.04338843,1
tt2091473,7600000,87.2615,76.7778,83.67,85.5124,16.6308,45.25,25.51,24.4793,24.9077,15.2778,21.58,21.5041,3.30435,9.362447015,13.26119403,0.476312687,0.858208955,0.141791045,1
tt2125435,13000000,52.7949,345.289,310.358,341.567,4.97436,22.0635,20.0455,21.4611,16.5128,60.0762,55.1364,55.8731,4.0,7.649711905,13.16190476,0.26889381,0.828571429,0.171428571,1
tt2125608,3700000,22.1667,105.426,98.8954,98.8506,1.75,8.37589,7.85621,7.87662,9.0,21.1773,20.2222,20.0909,4.73438,10.96340635,15.98412698,0.513873016,0.952380952,0.047619048,1
tt2125666,2400000,10.875,17.0208,15.9825,16.3354,3.70833,3.82292,3.82456,3.90683,5.5,1.91667,2.55263,2.40994,3.30769,2.405718182,1.0,0.107518182,0.545454545,0.454545455,1
tt2176013,3000000,3152.05,5666.85,3582.76,3628.75,224.613,442.576,269.059,224.385,612.688,601.727,635.441,481.099,3.46341,8.517301333,9.426666667,0.513804,0.8,0.2,1
tt2215719,25000000,90.7212,362.068,171.392,194.503,13.8269,24.6591,17.0473,19.2848,9.00961,19.1136,12.0135,14.5894,4.39231,22.2839234,26.07446809,0.723209574,0.957446809,0.042553191,1
tt2247692,33000000,845.746,5943.83,4856.96,4292.19,54.4921,557.824,445.448,400.521,896.365,3497.8,2955.81,2199.34,4.54087,8.378223199,11.26682502,0.369972486,0.787015044,0.212984956,1
tt2359137,3300000,21.7311,330.353,57.5597,63.2867,3.17647,49.9412,8.3806,9.46,13.7311,176.529,33.1045,31.9,4.63569,15.3497764,19.20599251,0.638392884,0.917602996,0.082397004,1
tt0903624,303000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616029829,11.33752381,0.516149829,0.920761905,0.079238095,0
tt0975645,6000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9824463,17.60185185,0.607088889,0.981481481,0.018518519,0
tt1212450,37000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.63789904,15.86091127,0.576413189,0.887290168,0.112709832,0
tt1682181,4000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.650303191,-3.776595745,-0.205835106,0.446808511,0.553191489,0
tt1792647,12000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98547143,20.88571429,0.574814286,0.971428571,0.028571429,0
tt1996346,1100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.829454,17.5,0.59127,0.84,0.16,0
tt2053425,2100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.005947368,11.26315789,0.130694737,0.947368421,0.052631579,0
tt2073128,14000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5716,23.33333333,0.2749,1.0,0.0,0
